"Complete payment with Soisy:","Richiedi il finanziamento di questo ordine a Soisy:"
"You will be redirected to Soisy website in 5 seconds. If not work, click on the below button.","Tra 5 secondi verrai rediretto al sito di Soisy. Se l'automatismo non funziona, clicca sul bottone sottostante."
"go to soisy","vai al sito soisy"
